File	Cores per node	CPU Utilized	CPU Efficiency	Memory Efficiency
concatenate_fastq-sample=SQK-NBD114-24_barcode04.fastq-1015697.out		00:00:01	16.67%	0.00%
concatenate_fastq-sample=SQK-NBD114-24_barcode04.fastq-1015718.out		00:00:01	25.00%	0.02%
concatenate_fastq-sample=SQK-NBD114-24_barcode04.fastq-1015774.out		00:00:06	46.15%	0.00%
concatenate_fastq-sample=SQK-NBD114-24_barcode04.fastq-1015797.out		00:00:01	7.14%	0.00%
concatenate_fastq-sample=SQK-NBD114-24_barcode04.fastq-1016002.out		00:00:04	26.67%	0.00%
concatenate_fastq-sample=SQK-NBD114-24_barcode04.fastq-1016014.out		00:00:03	33.33%	0.00%
concatenate_fastq-sample=SQK-NBD114-24_barcode04.fastq-1016050.out		00:00:03	30.00%	0.00%
concatenate_fastq-sample=SQK-NBD114-24_barcode04.fastq-1016071.out		00:00:03	42.86%	0.02%
concatenate_fastq-sample=SQK-NBD114-24_barcode05-1015251.out		00:00:09	8.82%	10.30%
concatenate_fastq-sample=SQK-NBD114-24_barcode05-1015766.out		00:00:09	20.93%	11.05%
concatenate_fastq-sample=SQK-NBD114-24_barcode05.fastq-1015252.out		00:00:06	8.57%	9.75%
concatenate_fastq-sample=SQK-NBD114-24_barcode05.fastq-1015286.out		00:00:00	0.00%	4.71%
concatenate_fastq-sample=SQK-NBD114-24_barcode05.fastq-1015495.out		00:00:03	5.88%	5.99%
concatenate_fastq-sample=SQK-NBD114-24_barcode05.fastq-1015520.out		00:00:06	46.15%	0.00%
concatenate_fastq-sample=SQK-NBD114-24_barcode05.fastq-1015680.out		00:00:01	11.11%	0.00%
concatenate_fastq-sample=SQK-NBD114-24_barcode05.fastq-1015728.out		00:00:01	50.00%	0.02%
concatenate_fastq-sample=SQK-NBD114-24_barcode05.fastq-1015787.out		00:00:06	42.86%	0.00%
concatenate_fastq-sample=SQK-NBD114-24_barcode05.fastq-1015803.out		00:00:01	25.00%	0.00%
concatenate_fastq-sample=SQK-NBD114-24_barcode05.fastq-1015991.out		00:00:03	20.00%	0.00%
concatenate_fastq-sample=SQK-NBD114-24_barcode05.fastq-1016017.out		00:00:03	33.33%	0.00%
concatenate_fastq-sample=SQK-NBD114-24_barcode05.fastq-1016039.out		00:00:03	50.00%	0.00%
concatenate_fastq-sample=SQK-NBD114-24_barcode05.fastq-1016060.out		00:00:03	42.86%	0.00%
concatenate_fastq-sample=SQK-NBD114-24_barcode06-1015266.out		00:00:08	8.16%	10.30%
concatenate_fastq-sample=SQK-NBD114-24_barcode06-1015776.out		00:00:07	17.95%	10.30%
concatenate_fastq-sample=SQK-NBD114-24_barcode06.fastq-1015274.out		00:00:05	7.35%	9.98%
concatenate_fastq-sample=SQK-NBD114-24_barcode06.fastq-1015284.out		00:00:00	0.00%	4.71%
concatenate_fastq-sample=SQK-NBD114-24_barcode06.fastq-1015516.out		00:00:03	6.12%	6.15%
concatenate_fastq-sample=SQK-NBD114-24_barcode06.fastq-1015529.out		00:00:02	40.00%	0.00%
concatenate_fastq-sample=SQK-NBD114-24_barcode06.fastq-1015709.out	2	00:00:01	12.50%	0.00%
concatenate_fastq-sample=SQK-NBD114-24_barcode06.fastq-1015724.out		00:00:01	50.00%	0.00%
concatenate_fastq-sample=SQK-NBD114-24_barcode06.fastq-1015783.out		00:00:05	38.46%	0.00%
concatenate_fastq-sample=SQK-NBD114-24_barcode06.fastq-1015799.out		00:00:01	10.00%	0.02%
concatenate_fastq-sample=SQK-NBD114-24_barcode06.fastq-1015988.out		00:00:04	26.67%	0.00%
concatenate_fastq-sample=SQK-NBD114-24_barcode06.fastq-1016012.out		00:00:03	42.86%	0.02%
concatenate_fastq-sample=SQK-NBD114-24_barcode06.fastq-1016036.out		00:00:03	42.86%	0.02%
concatenate_fastq-sample=SQK-NBD114-24_barcode06.fastq-1016058.out	2	00:00:03	21.43%	0.00%
concatenate_fastq-sample=SQK-NBD114-24_barcode07-1015254.out		00:00:08	7.92%	10.30%
concatenate_fastq-sample=SQK-NBD114-24_barcode07-1015764.out		00:00:04	23.53%	0.02%
concatenate_fastq-sample=SQK-NBD114-24_barcode07.fastq-1015260.out		00:00:06	8.96%	9.98%
concatenate_fastq-sample=SQK-NBD114-24_barcode07.fastq-1015279.out		00:00:00	0.00%	4.71%
concatenate_fastq-sample=SQK-NBD114-24_barcode07.fastq-1015502.out		00:00:03	5.88%	6.06%
concatenate_fastq-sample=SQK-NBD114-24_barcode07.fastq-1015523.out		00:00:02	40.00%	0.00%
concatenate_fastq-sample=SQK-NBD114-24_barcode07.fastq-1015690.out		00:00:01	12.50%	0.00%
concatenate_fastq-sample=SQK-NBD114-24_barcode07.fastq-1015715.out		00:00:01	50.00%	0.00%
concatenate_fastq-sample=SQK-NBD114-24_barcode07.fastq-1015768.out		00:00:05	38.46%	0.00%
concatenate_fastq-sample=SQK-NBD114-24_barcode07.fastq-1015793.out		00:00:01	7.14%	0.02%
concatenate_fastq-sample=SQK-NBD114-24_barcode07.fastq-1015998.out		00:00:04	26.67%	0.00%
concatenate_fastq-sample=SQK-NBD114-24_barcode07.fastq-1016019.out	2	00:00:04	20.00%	0.00%
